"algo","PA","run","TSS","species","AUC","species_original","n_occ"
"GAM","PA2","RUN2",0.545,"Amphibalanuseburneus",0.835,"amphibalanus_eburneus",55
"XGBOOST","PA2","RUN2",0.515,"Amphibalanuseburneus",0.875,"amphibalanus_eburneus",55
"RF","PA2","RUN3",0.818,"Amphibalanuseburneus",0.931,"amphibalanus_eburneus",55
"MAXNET","PA2","RUN3",0.879,"Amphibalanuseburneus",0.934,"amphibalanus_eburneus",55
"MARS","PA2","RUN3",0.758,"Amphibalanuseburneus",0.884,"amphibalanus_eburneus",55
"GAM","PA2","RUN3",0.697,"Amphibalanuseburneus",0.905,"amphibalanus_eburneus",55
"XGBOOST","PA2","RUN3",0.727,"Amphibalanuseburneus",0.931,"amphibalanus_eburneus",55
"RF","PA2","RUN4",0.636,"Amphibalanuseburneus",0.937,"amphibalanus_eburneus",55
"MAXNET","PA2","RUN4",0.818,"Amphibalanuseburneus",0.964,"amphibalanus_eburneus",55
"MARS","PA2","RUN4",0.758,"Amphibalanuseburneus",0.964,"amphibalanus_eburneus",55
"GAM","PA2","RUN4",0.788,"Amphibalanuseburneus",0.97,"amphibalanus_eburneus",55
"XGBOOST","PA2","RUN4",0.788,"Amphibalanuseburneus",0.92,"amphibalanus_eburneus",55
"RF","PA2","RUN5",0.485,"Amphibalanuseburneus",0.864,"amphibalanus_eburneus",55
"MAXNET","PA2","RUN5",0.455,"Amphibalanuseburneus",0.86,"amphibalanus_eburneus",55
"MARS","PA2","RUN5",0.455,"Amphibalanuseburneus",0.877,"amphibalanus_eburneus",55
"GAM","PA2","RUN5",0.455,"Amphibalanuseburneus",0.851,"amphibalanus_eburneus",55
"XGBOOST","PA2","RUN5",0.303,"Amphibalanuseburneus",0.793,"amphibalanus_eburneus",55
"RF","PA2","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"MAXNET","PA2","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"MARS","PA2","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"GAM","PA2","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"XGBOOST","PA2","allRun",NA,"Amphibalanuseburneus",NA,"amphibalanus_eburneus",55
"RF","PA3","RUN1",0.636,"Amphibalanuseburneus",0.946,"amphibalanus_eburneus",55
"MAXNET","PA3","RUN1",0.727,"Amphibalanuseburneus",0.912,"amphibalanus_eburneus",55
"MARS","PA3","RUN1",0.727,"Amphibalanuseburneus",0.945,"amphibalanus_eburneus",55
"GAM","PA3","RUN1",0.758,"Amphibalanuseburneus",0.939,"amphibalanus_eburneus",55
"XGBOOST","PA3","RUN1",0.758,"Amphibalanuseburneus",0.905,"amphibalanus_eburneus",55
"RF","PA3","RUN2",0.424,"Amphibalanuseburneus",0.909,"amphibalanus_eburneus",55
"MAXNET","PA3","RUN2",0.788,"Amphibalanuseburneus",0.904,"amphibalanus_eburneus",55
"MARS","PA3","RUN2",0.606,"Amphibalanuseburneus",0.883,"amphibalanus_eburneus",55
"GAM","PA3","RUN2",0.424,"Amphibalanuseburneus",0.781,"amphibalanus_eburneus",55
"XGBOOST","PA3","RUN2",0.485,"Amphibalanuseburneus",0.864,"amphibalanus_eburneus",55
"RF","PA3","RUN3",0.727,"Amphibalanuseburneus",0.967,"amphibalanus_eburneus",55
"MAXNET","PA3","RUN3",0.818,"Amphibalanuseburneus",0.948,"amphibalanus_eburneus",55
"MARS","PA3","RUN3",0.727,"Amphibalanuseburneus",0.904,"amphibalanus_eburneus",55
"GAM","PA3","RUN3",0.758,"Amphibalanuseburneus",0.92,"amphibalanus_eburneus",55
"XGBOOST","PA3","RUN3",0.818,"Amphibalanuseburneus",0.953,"amphibalanus_eburneus",55
"RF","PA3","RUN4",0.545,"Amphibalanuseburneus",0.857,"amphibalanus_eburneus",55
"MAXNET","PA3","RUN4",0.576,"Amphibalanuseburneus",0.848,"amphibalanus_eburneus",55
"MARS","PA3","RUN4",0.515,"Amphibalanuseburneus",0.81,"amphibalanus_eburneus",55
